课程ID,编号,任课单位,分组编号,课程,课程性质,教室,上课时间,周次,学分,理论学时,实验学时,实践,总学时,教师,计划人数,已选人数,余容,优选专业,锁定,校区,课程类别,课程体系,排课类别,单列实验
899679718995180186022107866825728661981286030567886467059067647889307956,300316020, ,互联网与营销创新（MOOC）选101,互联网与营销创新（MOOC）,公共选修课,-,-,2-17,2,0,0,0,28,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
893060368661855288646705866825728930337697211849819902549721228986687792,300316022, ,大学生安全文化（MOOC）选101,大学生安全文化（MOOC）,公共选修课,-,-,2-17,2,0,0,0,32,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
893060368133440381990254899679719721089989966021813344038134238381335133,300316061, ,大学生创业概论与实践（MOOC）选101,大学生创业概论与实践（MOOC）,公共选修课,-,-,3-17,2,0,0,0,30,无,300,0,300,全校,否,雅安,人文社科类, ,选课,否
893060368930795697269509860266378661981289370776813344039062337886681192,300316077, ,科学的精神与方法（MOOC）选101,科学的精神与方法（MOOC）,公共选修课,-,-,2-17,1,0,0,0,14,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
893060368199025489951801899679719067503889370776866185528996139181346313,300316079, ,西方文明史导论（MOOC）选101,西方文明史导论（MOOC）,公共选修课,-,-,2-17,2,0,0,0,32,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
813383939067365881334403886507558995971181998294899518018865690589377416,300316087, ,生态文明（MOOC）选101,生态文明（MOOC）,公共选修课,-,-,2-17,2,0,0,0,32,无,300,0,300,全校,否,雅安,人文社科类, ,选课,否
893060369726950981334403819942148864145589966021893033768661855288656905,300316108, ,科研方法论（MOOC）选101,科研方法论（MOOC）,公共选修课,-,-,2-17,2,0,0,0,30,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
906711988199025489951801899679718602407786686412866198128602407788646705,300316110, ,思辨与创新（MOOC）选101,思辨与创新（MOOC）,公共选修课,-,-,2-17,2,0,0,0,30,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
866825729067365886618552906711989721089981998294972108998661981286037817,300316117, ,中医养生与亚健康防治（MOOC）选101,中医养生与亚健康防治（MOOC）,公共选修课,-,-,2-17,2,0,0,0,28,无,300,0,300,全校,否,雅安,人文社科类, ,选课,否
866825728930795689951801906711988930337681342383819975948864880581997594,300316121, ,中国哲学经典著作导读（MOOC）选101,中国哲学经典著作导读（MOOC）,公共选修课,-,-,2-17,2,0,0,0,32,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
972136198930795681334403819942148995971181342383819975948930461689377416,300316127, ,人际传播能力（MOOC）选101,人际传播能力（MOOC）,公共选修课,-,-,2-17,2,0,0,0,32,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
899679718133440388646705819942148995971181998294906750388865075589960541,300316132, ,生命伦理学（MOOC）选101,生命伦理学（MOOC）,公共选修课,-,-,2-17,1,0,0,0,15,无,300,0,300,全校,否,雅安,人文社科类, ,选课,否
893060368864670588646705886507558930337681342383819975948865750590627938,300316146, ,文化差异与跨文化交际（MOOC）选101,文化差异与跨文化交际（MOOC）,公共选修课,-,-,2-17,2,0,0,0,28,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
893060368930795681334403813383939067503886030567813351339062055886619812,300316151, ,中医药与中华传统文化（MOOC）选101,中医药与中华传统文化（MOOC）,公共选修课,-,-,2-17,2,0,0,0,32,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
893060368930795686022107860266378133513389966021819975949721645981342383,300316156, ,探索心理学的奥秘（MOOC）选101,探索心理学的奥秘（MOOC）,公共选修课,-,-,2-17,2,0,0,0,30,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
886507558930795686618552899679718199759489966021906750389062337889967971,300316173, ,大学语文（MOOC）选101,大学语文（MOOC）,公共选修课,-,-,2-17,2,0,0,0,23,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
906711989067365889307956819942149721089981342383893033769062337888657505,300316174, ,巴蜀文化（MOOC）选101,巴蜀文化（MOOC）,公共选修课,-,-,2-17,2,0,0,0,32,无,300,0,300,全校,否,雅安,自然科学类, ,选课,否
886507559067365881990254886507558199759489303376899646519721228988002374,300311529,马克思主义学院,形势与政策Ⅳ4172019_2,形势与政策Ⅳ,必修,逸夫楼小礼堂,"2-5,2-6","12,14,16",.5,6,0,0,8,傅新禾,468,229,239,"电子(职)201901,电子201901,电子201902,电子201903,电子201904,电子201905,农机201901,农机201902",否,雅安,-,公共课,混教,否
886507558199025497269509866825728661981286024077866904329721923990624698,300311978,马克思主义学院,形势与政策Ⅳ419201908090101,形势与政策Ⅳ,必修,逸夫楼小礼堂,"3-3,3-4","12,14,16",.5,6,0,0,8,傅新禾,468,263,205,"计算机201901,计算机201902,计算机201903,计算机201904,计算机201905,计算机201906,计算机201907,计算机201908",否,雅安,-,公共课,混教,否
906711988930795681990254972136198602407781997594972806298602663781334403,300311830,马克思主义学院,形势与政策Ⅳ4162019_1,形势与政策Ⅳ,必修,逸夫楼小礼堂,"3-7,3-8","12,14,16",.5,6,0,0,8,傅新禾,468,267,201,"生技201901,生技201902,生技201903,生技201904,生技201905,生物201901,生物201902,生物201903,生物201904,生物201905",否,雅安,-,公共课,混教,否
819942148995180181990254886507558602407788641455899518018930795697280629,300311008,马克思主义学院,形势与政策Ⅱ4292020_1,形势与政策Ⅱ,必修,逸夫楼小礼堂,"4-1,4-2","11,13,15,17",.5,8,0,0,8,赵海伦,468,270,198,"汉语202001,汉语202002,汉语202003,英语202001,英语202002,英语202003,英语202004",否,雅安,-,公共课,混教,否
906711988133440386022107866825728930337688652855866198128661855290620558,300315105,马克思主义学院,形势与政策Ⅱ102,形势与政策Ⅱ,必修,逸夫楼小礼堂,"3-3,3-4","11,13,15,17",.5,8,0,0,8,薛波,468,277,191,"生工202001,生工202002,食质202001,食质202002,食质202003,食质202004,食质202005,生工202003,生工202004,生工202005",否,雅安,-,公共课,混教,否
886507558930795690673658819942148930337689303376972695099728207986022107,300311090,马克思主义学院,形势与政策Ⅱ4182020_1,形势与政策Ⅱ,必修,逸夫楼小礼堂,"5-1,5-2","11,13,15,17",.5,8,0,0,8,彭小芮,468,282,186,"包装202001,包装202002,包装202003,食工(职)202001,食工(职)202002,食工202001,食工202002,食工202003,食工202004,食工(联合)202001",否,雅安,-,公共课,混教,否
899679718995180190673658886507558199759488641455866185528937077681992934,300311062,马克思主义学院,形势与政策Ⅱ4162020_1,形势与政策Ⅱ,必修,逸夫楼小礼堂,"1-5,1-6","11,13,15,17",.5,8,0,0,8,李迪慧,468,285,183,"生技202001,生技202002,生技202003,生技202004,生技202005,生物202001,生物202002,生物202003,生物202004,生物202005",否,雅安,-,公共课,混教,否
906711988995180186022107906711988995971197216459866904329062337890679718,300315974,生命科学学院,奥妙植物学选101,奥妙植物学,公共选修课,10-A104,"3-9,3-10",2-15,2,28,0,0,32,陈涛2,180,0,180,全校,否,雅安,自然科学类, ,选课,否
906711988995180186022107972136198199759490620558813463138800091481992934,300315982,食品学院,生活化学与人体健康选101,生活化学与人体健康,公共选修课,10-A202,"1-9,1-10",2-15,2,28,0,0,32,林德荣,180,0,180,全校,否,雅安,自然科学类, ,选课,否
899679718133440388646705972136198133513389964651893747968800091497216459,300315985,法学院,经济法概论选101,经济法概论,公共选修课,10-A304,"3-7,3-8",2-15,2,28,0,0,32,许彦,180,0,180,全校,否,雅安,人文社科类, ,选课,否
866825728602210788646705906711988930337681996954860344978603378788002374,300315989,食品学院,果蔬营养与美容健康选102,果蔬营养与美容健康,公共选修课,1-301,"2-5,2-6",2-15,2,28,0,0,32,李素清,180,0,180,全校,否,雅安,自然科学类, ,选课,否
906711989726950988646705972136198661981286029257880023748800237490673658,300315990,机电学院,MATLAB程序设计基础选101,MATLAB程序设计基础,公共选修课,10-A103,"1-7,1-8",1-18,3,36,8,0,48,黄鹏,180,0,180,全校,否,雅安,自然科学类, ,选课,否
899679718864670589307956860266378602407789308156893747968134631389301396,300315994,人文学院,辩论与口才选102,辩论与口才,公共选修课,10-B402,"3-5,3-6",2-15,2,28,0,0,32,刘科,180,0,180,全校,否,雅安,人文社科类, ,选课,否
813383939067365886022107860266378199759488652855886582558800237490623378,300315997,信息工程学院,信息科学技术概论选101,信息科学技术概论,公共选修课,10-A102,"2-3,2-4",2-15,2,28,0,0,32,穆炯,180,0,180,全校,否,雅安,自然科学类, ,选课,否
819942148930795689307956813383938864145586029257860344978865825589910731,300315999,人文学院,管理学概论选101,管理学概论,公共选修课,10-A202,"3-9,3-10",2-15,2,28,0,0,32,刘科,180,0,180,全校,否,雅安,人文社科类, ,选课,否
819942149067365888646705899679719067503889966021972695098133440389304616,300316002,生命科学学院,国际文化与留学教育选102,国际文化与留学教育,公共选修课,10-A201,"3-5,3-6",2-9,1,16,0,0,16,蔡易,180,0,180,全校,否,雅安,人文社科类, ,选课,否
893060369067365881990254819942148995971188654205886467058199759490673658,300316010,机电学院,3ds,3dsMAX三维设计与动画制作,公共选修课,10-B201,"1-5,1-6",2-11,2,20,8,0,32,代建武,180,0,180,全校,否,雅安,自然科学类,-,选课,否
886507558995180197269509893060368930337681342383813344039067647886037817,300316027,法学院,宗教社会学选101,宗教社会学,公共选修课,10-A302,"5-3,5-4",2-15,2,28,0,0,32,陈焱,180,0,180,全校,否,雅安,人文社科类, ,选课,否
886507558199025489951801899679718661981290627938860221078668257286021947,300316034,法学院,婚姻家庭法选102,婚姻家庭法,公共选修课,10-A103,"2-9,2-10",2-15,2,28,0,0,32,张云3,180,0,180,全校,否,雅安,人文社科类, ,选课,否
819942149726950981334403906711989721089981998294886467058133839397211849,300316036,人文学院,管理学概论选102,管理学概论,公共选修课,10-A102,"2-9,2-10",2-15,2,28,0,0,32,刘科,180,0,180,全校,否,雅安,人文社科类, ,选课,否
813383939726950981334403819942148199759481342383899518018133839397282079,300316039,法学院,经济法概论选102,经济法概论,公共选修课,10-A204,"3-9,3-10",2-15,2,28,0,0,32,陈昱晓,180,0,180,全校,否,雅安,人文社科类, ,选课,否
906711988864670588646705866825729721089988654205972695098668575281997594,300316051,艺术与传媒学院,摄影赏析选101,摄影赏析,公共选修课,10-A101,"3-3,3-4",2-15,2,28,0,0,32,董广辉,180,0,180,全校,否,雅安,人文社科类, ,选课,否
813383938930795689307956860266378864145597211849860221079721645986681192,300316057,法学院,生命教育选101,生命教育,公共选修课,10-A202,"3-3,3-4",2-15,2,28,0,0,32,邱振铭,180,0,180,全校,否,雅安,人文社科类, ,选课,否
906711988133440386618552972136198864145589966021899518018996465190626018,300316059,生命科学学院,鸟类识别与观赏选101,鸟类识别与观赏,公共选修课,10-A204,"3-7,3-8",2-15,2,28,0,0,32,姚永芳,180,0,180,全校,否,雅安,自然科学类, ,选课,否
899679718930795686022107819942148661981297211849893079568937077686025327,300316062,生命科学学院,奥妙植物学选102,奥妙植物学,公共选修课,10-A104,"1-9,1-10",2-15,2,28,0,0,32,陈涛2,180,0,180,全校,否,雅安,自然科学类, ,选课,否
886507558133440390673658866825728661981289966021819902548996602181994214,300316063,艺术与传媒学院,影视鉴赏选102,影视鉴赏,公共选修课,10-A301,"4-7,4-8",2-15,2,28,0,0,32,陈锋,180,0,180,全校,否,雅安,人文社科类, ,选课,否
886507559726950988646705866825728602407789966021886467059721184989964651,300316065,法学院,房地产政策与法规选102,房地产政策与法规,公共选修课,10-A101,"2-9,2-10",2-15,2,28,0,0,32,庞椿云,180,0,180,全校,否,雅安,人文社科类, ,选课,否
906711988199025489951801972136198995971189370776886467059062793890626018,300316069,食品学院,果蔬营养与美容健康选101,果蔬营养与美容健康,公共选修课,10-A203,"4-5,4-6",2-15,2,28,0,0,32,李素清,180,0,180,全校,否,雅安,自然科学类, ,选课,否
886507558602210781990254972136198602407788654205893079568199963486021947,300316074,信息工程学院,C语言程序设计基础选101,C语言程序设计基础,公共选修课,10-A301,"3-5,3-6",1-18,3,36,8,0,48,王蓝菁,180,0,180,全校,否,雅安,自然科学类, ,选课,否
906711988864670590673658972136199721089990627938813344039062337888654205,300316076,艺术与传媒学院,创意视频创作选101,创意视频创作,公共选修课,10-A102,"3-7,3-8",2-15,2,28,0,0,32,陈锋,180,0,180,全校,否,雅安,人文社科类, ,选课,否
860266378199025489951801972136198930337697211849899518018996139181345043,300316078,食品学院,生活化学与人体健康选103,生活化学与人体健康,公共选修课,10-A104,"4-9,4-10",2-15,2,28,0,0,32,林德荣,180,0,180,全校,否,雅安,自然科学类, ,选课,否
899679719067365886022107886507558864145589966021972695099062469881997594,300316081,图书馆,信息检索与利用选102,信息检索与利用,公共选修课,10-A402,"4-3,4-4",2-12,2,22,6,0,32,叶德柳,180,0,180,全校,否,雅安,自然科学类, ,选课,否
860266378133440381334403813383938133513386030567972695098603378789301396,300316084,艺术与传媒学院,影视鉴赏选101,影视鉴赏,公共选修课,10-A104,"3-7,3-8",2-15,2,28,0,0,32,罗康,180,0,180,全校,否,雅安,人文社科类, ,选课,否
893060369726950989951801886507558602407786686412886467058603449786683832,300316094,艺术与传媒学院,艺术导论选101,艺术导论,公共选修课,10-A301,"1-9,1-10",2-15,2,28,0,0,32,罗康,180,0,180,全校,否,雅安,人文社科类, ,选课,否
899679718995180181334403972136198133513397211849860221078937479686030567,300316096,人文学院,大学美学选101,大学美学,公共选修课,10-A102,"4-9,4-10",2-15,2,28,0,0,32,杜光霞,180,0,180,全校,否,雅安,人文社科类, ,选课,否
819942149067365889307956899679718661981286686412899597118995180181990254,300316100,法学院,房地产政策与法规选101,房地产政策与法规,公共选修课,10-B203,"2-9,2-10",2-15,2,28,0,0,32,耿鹏飞,180,0,180,全校,否,雅安,人文社科类, ,选课,否
972136198661855286618552886507558930337689370776886414559726950986682572,300316103,食品学院,生活化学与人体健康选102,生活化学与人体健康,公共选修课,10-A202,"3-7,3-8",2-15,2,28,0,0,32,林德荣,180,0,180,全校,否,雅安,自然科学类, ,选课,否
899679718661855286618552899679719067503886686412893033768602407789304616,300316112,食品学院,食品加工与安全选101,食品加工与安全,公共选修课,10-A202,"4-7,4-8",2-15,2,28,0,0,32,罗松明,180,0,180,全校,否,雅安,自然科学类, ,选课,否
899679719726950986022107972136198661981288654205906750389721089997216459,300316115,生命科学学院,生命科学概论选103,生命科学概论,公共选修课,10-B202,"4-7,4-8",2-15,2,28,0,0,32,周莉君,180,0,180,全校,否,雅安,自然科学类, ,选课,否
906711988661855281990254866825728995971189966021899597118930337689966021,300316116,艺术与传媒学院,影视鉴赏选103,影视鉴赏,公共选修课,10-A304,"5-3,5-4",2-15,2,28,0,0,32,陈锋,180,0,180,全校,否,雅安,人文社科类, ,选课,否
906711988995180189951801893060368602407789370776866198128661981290624698,300316118,水利水电学院,水之探秘选101,水之探秘,公共选修课,10-A204,"2-9,2-10",2-15,2,28,0,0,32,王莹,180,0,180,全校,否,雅安,自然科学类, ,选课,否
899679718864670588646705860266378661981281998294972108998199293497212289,300316122,法学院,宗教社会学选102,宗教社会学,公共选修课,10-A303,"4-5,4-6",2-15,2,28,0,0,32,陈焱,180,0,180,全校,否,雅安,人文社科类, ,选课,否
866825728199025481334403886507559067503890627938813351338133106388656905,300316128,人文学院,诸子百家纵横谈选102,诸子百家纵横谈,公共选修课,10-A401,"2-3,2-4",2-15,2,28,0,0,32,王秀丽,180,0,180,全校,否,雅安,人文社科类, ,选课,否
899679718864670586022107972136198602407797211849860240779067119889303376,300316131,人文学院,辩论与口才选101,辩论与口才,公共选修课,10-A102,"1-9,1-10",2-15,2,28,0,0,32,刘科,180,0,180,全校,否,雅安,人文社科类, ,选课,否
860266379067365881990254972136198864145586686412866198129721361981339123,300316134,艺术与传媒学院,美术鉴赏选102,美术鉴赏,公共选修课,10-A204,"1-7,1-8",2-15,2,28,0,0,32,江霞,180,0,180,全校,否,雅安,人文社科类, ,选课,否
906711988864670586022107886507558995971186030567893033768602194789951801,300316140,艺术与传媒学院,美术鉴赏选101,美术鉴赏,公共选修课,10-A104,"2-9,2-10",2-15,2,28,0,0,32,周游,180,0,180,全校,否,雅安,人文社科类, ,选课,否
972136198602210790673658886507558199759481998294819975948199567486682572,300316143,法学院,婚姻家庭法选101,婚姻家庭法,公共选修课,10-A104,"3-3,3-4",2-15,2,28,0,0,32,张云3,180,0,180,全校,否,雅安,人文社科类, ,选课,否
813383938995180181334403906711989067503888654205813351338930139688656905,300316148,法学院,知识产权概论选101,知识产权概论,公共选修课,10-A303,"2-1,2-2",2-15,2,28,0,0,32,甘婷,180,0,180,全校,否,雅安,人文社科类, ,选课,否
906711988602210789307956860266378930337686030567819975948996465181994214,300316153,法学院,知识产权概论选102,知识产权概论,公共选修课,10-A204,"3-3,3-4",2-15,2,28,0,0,32,甘婷,180,0,180,全校,否,雅安,人文社科类, ,选课,否
886507558864670597269509972136198661981289370776866198129062055886037817,300316157,食品学院,食品功能与保健选101,食品功能与保健,公共选修课,10-A202,"1-7,1-8",10-17,1,16,0,0,16,刘韫滔,180,0,180,全校,否,雅安,自然科学类, ,选课,否
899679718995180189307956899679718864145581342383886414558602925789374796,300316159,艺术与传媒学院,影视鉴赏选104,影视鉴赏,公共选修课,10-A202,"2-9,2-10",2-15,2,28,0,0,32,王璐,180,0,180,全校,否,雅安,人文社科类, ,选课,否
866825729067365890673658893060369721089990627938893033769062793886022107,300316160,食品学院,脂质与生活选101,脂质与生活,公共选修课,10-A204,"4-3,4-4",2-15,2,28,0,0,32,张清,180,0,180,全校,否,雅安,自然科学类, ,选课,否
819942148864670597269509899679718995971189370776972108999062793881345043,300316168,食品学院,食品功能与保健选102,食品功能与保健,公共选修课,10-A302,"2-5,2-6",10-17,1,16,0,0,16,刘韫滔,180,0,180,全校,否,雅安,自然科学类, ,选课,否
893060368864670586022107819942148995971186686412886414558199963486619812,300316171,生命科学学院,鸟类识别与观赏选102,鸟类识别与观赏,公共选修课,10-A404,"1-3,1-4",2-15,2,28,0,0,32,姚永芳,180,0,180,全校,否,雅安,自然科学类, ,选课,否
819942148930795689307956972136199721089986030567906750388199963489304616,300316172,生命科学学院,奥妙植物学选103,奥妙植物学,公共选修课,10-A304,"2-9,2-10",2-15,2,28,0,0,32,陈涛2,180,0,180,全校,否,雅安,自然科学类, ,选课,否
866825728199025490673658860266379067503888654205860292578865750588654205,300316546,食品学院,酒与酒文化选101,酒与酒文化,公共选修课,10-A302,"2-9,2-10",2-13,1.5,24,0,0,24,李琴,180,0,180,全校,否,雅安,自然科学类, ,选课,否
813383938133440389951801866825728930337681998294819982948930461697216459,300316625,生命科学学院,生命科学概论选102,生命科学概论,公共选修课,1-301,"1-5,1-6",2-15,2,28,0,0,32,周莉君,180,0,180,全校,否,雅安,自然科学类, ,选课,否
886507558930795690673658893060368661981281998294819982948199293488654205,300316626,生命科学学院,生命科学概论选101,生命科学概论,公共选修课,10-A402,"5-5,5-6",2-15,2,28,0,0,32,周莉君,180,0,180,全校,否,雅安,自然科学类, ,选课,否
899679718661855281334403893060368864145586686412819982949721361997211849,300316636,马克思主义学院,马克思主义法学理论与现代生活选102,马克思主义法学理论与现代生活,公共选修课,10-A304,"4-3,4-4",2-15,2,28,0,0,32,毛平,180,0,180,全校,否,雅安,人文社科类, ,选课,否
893060368995180189951801972136198133513388654205899660218996797190623378,300316637,马克思主义学院,马克思主义法学理论与现代生活选101,马克思主义法学理论与现代生活,公共选修课,10-A101,"1-3,1-4",2-15,2,28,0,0,32,毛平,180,0,180,全校,否,雅安,人文社科类, ,选课,否
860266379726950988646705819942148199759481998294886542058668977281994214,300316683,人文学院,管理学概论选104,管理学概论,公共选修课,10-B203,"1-3,1-4",2-15,2,28,0,0,32,孙倩,180,0,180,全校,否,雅安,人文社科类, ,选课,否
906711988199025497269509972136198864145581342383899660218865690581995674,300316684,人文学院,管理学概论选103,管理学概论,公共选修课,10-A302,"4-3,4-4",2-15,2,28,0,0,32,凡志强,180,0,180,全校,否,雅安,人文社科类, ,选课,否
866825728995180186022107899679718661981288654205899660218865690588656905,300316688,艺术与传媒学院,创意广告赏析选103,创意广告赏析,公共选修课,10-A301,"3-9,3-10",2-15,2,28,0,0,32,陈坤,180,0,180,全校,否,雅安,人文社科类, ,选课,否
813383938864670589307956972136198602407786686412893707768134631390675038,300316691,艺术与传媒学院,创意广告赏析选102,创意广告赏析,公共选修课,10-A301,"5-3,5-4",2-15,2,28,0,0,32,何杰,180,0,180,全校,否,雅安,人文社科类, ,选课,否
972136199067365890673658906711989067503889370776886542058937479686687792,300316692,艺术与传媒学院,艺术导论选102,艺术导论,公共选修课,10-A301,"2-9,2-10",2-15,2,28,0,0,32,张池,180,0,180,全校,否,雅安,人文社科类, ,选课,否
860266379726950989951801860266379721089989966021860305678669043290620558,300316695,艺术与传媒学院,创意广告赏析选101,创意广告赏析,公共选修课,10-A301,"1-7,1-8",2-15,2,28,0,0,32,刘雨逍,180,0,180,全校,否,雅安,人文社科类, ,选课,否
893060369726950986618552972136198864145581996954886414558199025488654205,300315106,马克思主义学院,形势与政策Ⅱ105,形势与政策Ⅱ,必修,逸夫楼小礼堂,"2-1,2-2","11,13,15,17",.5,8,0,0,8,刘生成,468,289,179,"农机(职)202001,农机(职)202002,农机(职)202003,农机202001,农机202002,农机202003,水利202001,水利202002,水利202003,水利202004",否,雅安,-,公共课,混教,否
813383939067365881990254972136198930337689303376819975948996054188641455,300311121,马克思主义学院,形势与政策Ⅱ4202020_1,形势与政策Ⅱ,必修,逸夫楼小礼堂,"3-5,3-6","11,13,15,17",.5,8,0,0,8,刘思麟,468,292,176,"能动202001,能动202002,能动202003,能动202004,能动202005,水电202001,水电202002,水电202003,水电202004,水电202005",否,雅安,-,公共课,混教,否
886507559067365881990254899679718864145589307956860337879062469890679718,300310884,马克思主义学院,形势与政策Ⅱ4152020_1,形势与政策Ⅱ,必修,逸夫楼小礼堂,"4-7,4-8","11,13,15,17",.5,8,0,0,8,宋三多,468,294,174,"信科202001,信科202002,信科202003,信科202004,信科202005,应用化学202001,应用化学202002,应用化学202003,应用化学202004,应用化学202005",否,雅安,-,公共课,混教,否
